Time;a;a_2;a_0;b_5;a_9;a_1;a_5;a_3;a_10;a_13;b_6;b_2;a_6;b_8;b_0;b_3;a_12;b;b_1;b_4;b_7;a_7;a_4;b_12;b_13;b_11;a_11;b_9;a_8;b_10
4.31;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.32;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.33;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.34;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.35;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.36;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.37;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.38;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.39;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.4;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.41;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.42;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.43;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.44;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.45;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.46;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.47;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.48;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.49;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.5;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.51;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.52;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.53;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.54;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.55;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.56;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.57;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.58;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.59;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.6;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.61;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.62;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.63;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.64;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.65;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.66;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.67;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.68;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.69;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.7;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.71;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.72;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.73;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.74;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.75;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.76;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.77;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.78;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.79;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.8;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.81;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.82;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.83;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.84;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.85;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.86;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.87;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.88;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.89;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.9;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.91;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.92;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.93;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.94;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.95;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.96;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.97;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.98;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
4.99;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.01;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.02;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.03;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.04;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.05;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.06;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.07;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.08;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.09;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.1;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.11;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.12;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.13;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.14;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.15;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.16;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.17;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.18;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.19;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.2;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.21;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.22;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.23;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.24;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.25;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.26;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.27;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.28;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.29;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.3;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.31;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.32;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.33;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.34;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.35;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.36;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.37;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.38;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.39;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.4;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.41;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.42;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.43;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.44;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.45;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.46;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.47;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.48;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.49;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.5;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.51;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.52;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.53;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.54;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.55;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.56;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.57;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.58;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.59;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.6;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.61;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.62;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.63;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.64;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.65;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.66;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.67;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.68;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.69;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.7;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.71;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.72;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.73;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.74;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.75;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.76;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.77;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.78;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.79;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.8;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.81;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.82;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.83;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.84;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.85;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.86;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.87;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.88;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.89;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.9;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.91;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.92;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.93;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.94;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.95;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.96;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.97;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.98;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
5.99;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.01;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.02;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.03;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.04;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.05;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.06;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.07;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.08;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.09;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.1;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.11;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.12;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.13;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.14;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.15;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.16;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.17;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.18;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.19;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.2;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.21;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.22;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.23;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.24;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.25;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.26;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.27;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.28;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.29;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.3;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.31;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.32;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.33;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.34;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.35;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.36;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.37;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.38;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.39;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.4;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.41;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.42;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.43;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.44;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.45;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
6.46;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;14;1;1;1;0;0;1;1;1;0;1;0;1
